"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2023","6,661.88","6,664.67","6,679.63","6,652.90","14.23B","-0.04%"
"06/26/2023","6,664.67","6,639.73","6,674.06","6,622.18","12.60B","0.38%"
"06/23/2023","6,639.73","6,652.26","6,665.66","6,635.48","11.34B","-0.19%"
"06/22/2023","6,652.26","6,702.77","6,717.98","6,652.26","16.85B","-0.75%"
"06/21/2023","6,702.63","6,660.46","6,702.63","6,635.67","12.03B","0.63%"
"06/20/2023","6,660.46","6,686.06","6,692.44","6,626.15","11.83B","-0.38%"
"06/19/2023","6,686.06","6,698.55","6,705.04","6,669.05","16.14B","-0.19%"
"06/16/2023","6,698.55","6,713.52","6,726.46","6,669.34","17.21B","-0.23%"
"06/15/2023","6,713.79","6,699.72","6,717.46","6,660.91","15.12B","0.21%"
"06/14/2023","6,699.72","6,718.87","6,744.64","6,672.86","17.83B","-0.29%"
"06/13/2023","6,719.01","6,722.37","6,744.04","6,697.07","17.66B","-0.05%"
"06/12/2023","6,722.37","6,694.58","6,722.37","6,670.52","15.87B","0.42%"
"06/09/2023","6,694.02","6,666.05","6,703.82","6,648.96","18.28B","0.42%"
"06/08/2023","6,666.33","6,619.75","6,666.33","6,598.42","16.86B","0.70%"
"06/07/2023","6,619.75","6,619.06","6,638.58","6,578.76","16.29B","0.01%"
"06/06/2023","6,618.92","6,633.44","6,677.57","6,602.00","23.18B","-0.22%"
"06/05/2023","6,633.44","6,633.26","6,663.71","6,598.51","15.27B","0.00%"
"05/31/2023","6,633.26","6,636.42","6,657.65","6,562.96","61.51B","-0.05%"
"05/30/2023","6,636.42","6,681.10","6,700.24","6,636.42","17.38B","-0.67%"
"05/29/2023","6,681.10","6,687.28","6,708.37","6,617.24","16.48B","-0.09%"
"05/26/2023","6,687.00","6,704.23","6,727.29","6,669.24","18.15B","-0.26%"
"05/25/2023","6,704.23","6,745.80","6,749.71","6,702.53","15.70B","-0.62%"
"05/24/2023","6,745.80","6,736.68","6,755.88","6,713.89","13.77B","0.14%"
"05/23/2023","6,736.68","6,729.65","6,772.65","6,727.07","16.22B","0.10%"
"05/22/2023","6,729.65","6,700.56","6,757.62","6,675.88","16.75B","0.43%"
"05/19/2023","6,700.56","6,663.11","6,715.03","6,662.75","16.16B","0.56%"
"05/17/2023","6,663.11","6,676.42","6,706.60","6,661.47","18.04B","-0.20%"
"05/16/2023","6,676.56","6,711.74","6,729.07","6,659.07","15.64B","-0.52%"
"05/15/2023","6,711.74","6,708.46","6,729.30","6,656.65","14.26B","0.06%"
"05/12/2023","6,707.76","6,755.94","6,755.94","6,704.57","17.38B","-0.71%"
"05/11/2023","6,755.94","6,811.90","6,814.12","6,717.42","16.29B","-0.82%"
"05/10/2023","6,811.90","6,780.40","6,820.12","6,775.19","18.15B","0.47%"
"05/09/2023","6,779.98","6,769.63","6,793.77","6,742.18","17.21B","0.15%"
"05/08/2023","6,769.63","6,787.49","6,798.32","6,756.66","17.96B","-0.27%"
"05/05/2023","6,787.63","6,844.03","6,851.59","6,733.78","14.82B","-0.82%"
"05/04/2023","6,844.03","6,812.72","6,846.12","6,780.09","13.75B","0.46%"
"05/03/2023","6,812.72","6,863.30","6,865.61","6,776.90","12.13B","-0.74%"
"05/02/2023","6,863.30","6,915.72","6,920.34","6,814.34","13.65B","-0.76%"
"04/28/2023","6,915.72","6,945.48","6,958.67","6,897.71","13.06B","-0.43%"
"04/27/2023","6,945.48","6,910.85","6,971.91","6,877.65","16.16B","0.51%"
"04/26/2023","6,910.15","6,821.81","6,910.15","6,821.60","12.02B","1.29%"
"04/18/2023","6,821.81","6,787.58","6,839.76","6,784.17","10.37B","0.50%"
"04/17/2023","6,787.58","6,818.71","6,829.51","6,765.14","9.49B","-0.45%"
"04/14/2023","6,818.57","6,785.88","6,838.07","6,785.70","13.70B","0.49%"
"04/13/2023","6,785.60","6,798.54","6,816.88","6,764.66","16.15B","-0.20%"
"04/12/2023","6,798.96","6,811.46","6,833.74","6,775.28","15.14B","-0.18%"
"04/11/2023","6,811.31","6,771.23","6,811.31","6,738.77","16.14B","0.59%"
"04/10/2023","6,771.23","6,792.77","6,799.49","6,735.19","12.94B","-0.32%"
"04/06/2023","6,792.77","6,819.67","6,832.73","6,786.29","17.29B","-0.39%"
"04/05/2023","6,819.67","6,833.18","6,867.34","6,816.43","12.40B","-0.20%"
"04/04/2023","6,833.18","6,827.03","6,859.69","6,781.52","13.16B","0.09%"
"04/03/2023","6,827.17","6,805.28","6,849.36","6,805.13","12.75B","0.32%"
"03/31/2023","6,805.28","6,809.09","6,831.55","6,789.61","13.90B","-0.05%"
"03/30/2023","6,808.95","6,839.44","6,868.63","6,803.09","14.05B","-0.45%"
"03/29/2023","6,839.44","6,760.33","6,851.51","6,760.33","14.33B","1.17%"
"03/28/2023","6,760.33","6,708.93","6,764.65","6,708.93","12.61B","0.77%"
"03/27/2023","6,708.93","6,762.25","6,772.60","6,704.75","13.52B","-0.79%"
"03/24/2023","6,762.25","6,694.02","6,776.90","6,692.17","14.66B","1.06%"
"03/21/2023","6,691.61","6,612.49","6,691.61","6,609.22","14.55B","1.20%"
"03/20/2023","6,612.49","6,678.24","6,678.24","6,587.69","12.89B","-0.98%"
"03/17/2023","6,678.24","6,565.73","6,683.09","6,565.73","45.58B","1.71%"
"03/16/2023","6,565.73","6,628.14","6,630.77","6,542.79","15.44B","-0.94%"
"03/15/2023","6,628.14","6,641.81","6,709.86","6,628.14","13.92B","-0.21%"
"03/14/2023","6,641.81","6,786.67","6,786.67","6,635.38","16.66B","-2.14%"
"03/13/2023","6,786.96","6,765.02","6,812.87","6,727.44","14.18B","0.32%"
"03/10/2023","6,765.30","6,799.79","6,799.79","6,741.41","13.17B","-0.51%"
"03/09/2023","6,799.79","6,776.37","6,824.66","6,776.37","11.32B","0.35%"
"03/08/2023","6,776.37","6,766.76","6,776.37","6,728.19","14.41B","0.14%"
"03/07/2023","6,766.76","6,806.86","6,812.96","6,758.00","14.04B","-0.59%"
"03/06/2023","6,807.00","6,813.92","6,856.57","6,801.19","13.71B","-0.10%"
"03/03/2023","6,813.64","6,857.42","6,884.12","6,804.48","11.87B","-0.64%"
"03/02/2023","6,857.42","6,845.08","6,875.10","6,841.86","13.61B","0.18%"
"03/01/2023","6,844.94","6,843.10","6,889.51","6,833.19","14.63B","0.02%"
"02/28/2023","6,843.24","6,854.78","6,890.35","6,843.24","16.79B","-0.17%"
"02/27/2023","6,854.78","6,856.58","6,871.11","6,819.87","12.76B","-0.03%"
"02/24/2023","6,856.58","6,839.45","6,880.31","6,839.45","13.03B","0.25%"
"02/23/2023","6,839.45","6,810.11","6,839.45","6,807.00","12.45B","0.43%"
"02/22/2023","6,809.97","6,873.26","6,875.39","6,781.23","14.92B","-0.92%"
"02/21/2023","6,873.40","6,894.72","6,923.67","6,870.91","14.42B","-0.31%"
"02/20/2023","6,894.72","6,895.86","6,910.50","6,863.67","17.59B","-0.01%"
"02/17/2023","6,895.71","6,895.66","6,919.09","6,868.28","18.01B","0.00%"
"02/16/2023","6,895.66","6,914.54","6,933.28","6,875.30","17.36B","-0.27%"
"02/15/2023","6,914.54","6,941.85","6,946.03","6,872.87","14.85B","-0.39%"
"02/14/2023","6,941.85","6,900.14","6,941.85","6,900.14","16.28B","0.60%"
"02/13/2023","6,900.14","6,880.33","6,915.14","6,871.88","21.39B","0.29%"
"02/10/2023","6,880.33","6,895.24","6,895.24","6,803.42","14.08B","-0.25%"
"02/09/2023","6,897.37","6,940.12","6,961.15","6,896.04","17.67B","-0.62%"
"02/08/2023","6,940.12","6,935.30","6,961.92","6,912.11","17.27B","0.07%"
"02/07/2023","6,935.30","6,873.79","6,946.23","6,873.79","17.31B","0.89%"
"02/06/2023","6,873.79","6,911.73","6,924.88","6,835.76","14.35B","-0.55%"
"02/03/2023","6,911.73","6,890.71","6,951.97","6,890.71","20.29B","0.31%"
"02/02/2023","6,890.57","6,862.26","6,896.73","6,855.37","18.92B","0.41%"
"02/01/2023","6,862.26","6,838.92","6,893.18","6,838.92","14.59B","0.34%"
"01/31/2023","6,839.34","6,872.52","6,880.96","6,827.24","15.18B","-0.48%"
"01/30/2023","6,872.48","6,899.02","6,925.47","6,834.08","13.47B","-0.38%"
"01/27/2023","6,898.98","6,864.82","6,932.71","6,864.82","14.92B","0.50%"
"01/26/2023","6,864.82","6,829.97","6,874.87","6,815.79","17.11B","0.51%"
"01/25/2023","6,829.93","6,860.85","6,871.36","6,821.28","18.79B","-0.45%"
"01/24/2023","6,860.85","6,874.93","6,906.79","6,841.01","19.68B","-0.20%"
"01/20/2023","6,874.93","6,819.91","6,874.93","6,819.53","17.38B","0.81%"
"01/19/2023","6,819.91","6,765.75","6,820.98","6,754.55","15.42B","0.80%"
"01/18/2023","6,765.79","6,767.18","6,790.16","6,721.46","19.50B","-0.02%"
"01/17/2023","6,767.34","6,688.06","6,801.87","6,688.06","21.76B","1.19%"
"01/16/2023","6,688.06","6,641.83","6,688.06","6,627.70","15.49B","0.70%"
"01/13/2023","6,641.83","6,629.93","6,658.48","6,600.59","16.56B","0.18%"
"01/12/2023","6,629.93","6,584.49","6,662.23","6,574.09","14.89B","0.69%"
"01/11/2023","6,584.45","6,622.54","6,622.79","6,557.92","12.49B","-0.57%"
"01/10/2023","6,622.50","6,688.27","6,690.23","6,570.24","14.48B","-0.98%"
"01/09/2023","6,688.27","6,684.56","6,726.97","6,638.65","13.59B","0.06%"
"01/06/2023","6,684.56","6,653.76","6,708.64","6,598.65","10.99B","0.46%"
"01/05/2023","6,653.84","6,813.28","6,813.42","6,621.99","18.06B","-2.34%"
"01/04/2023","6,813.24","6,888.80","6,900.60","6,813.24","14.25B","-1.10%"
"01/03/2023","6,888.76","6,850.98","6,908.00","6,838.57","15.69B","0.55%"
"01/02/2023","6,850.98","6,850.74","6,856.89","6,823.48","10.96B","0.01%"